2025-06-05 17:38:58.380 [http-nio-5500-exec-3] INFO  r.n.m.service.TransferService - Transaction: db183dc6-f770-4b69-bd6e-3fa92c246c5e, amount 2, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:26:24.808 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: a55b0371-3d33-4ee9-a3da-5c8ace1eeb40, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:27:23.913 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: 2b0867f9-8770-48e7-b737-70fe6513d720, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:29:42.273 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: 52672ae3-c7d6-4d58-83de-d164dc70e305, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:30:44.592 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: ea7068be-7b7d-4fac-b0df-c836d996588a, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:32:40.337 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: da2349ae-48ad-4eb5-8ce5-3d0d465b7872, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:35:45.794 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: af164785-2151-4e8a-9246-654f4775ce0e, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:36:14.526 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: b3503139-8a8b-4798-84dc-494b1b6d7c25, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:36:14.568 [http-nio-auto-1-exec-2] INFO  r.n.m.service.TransferService - Transaction: f27a9aae-d64b-47a4-bae5-c9adbf49b838, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:36:14.600 [http-nio-auto-1-exec-4] INFO  r.n.m.service.TransferService - Transaction: 505fb111-2eea-46f5-b7cb-4d0597fa5a86, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:36:14.635 [http-nio-auto-1-exec-5] INFO  r.n.m.service.TransferService - Transaction: 0ae824f7-a421-4d86-ba5d-86d58ae143e1, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:36:14.650 [http-nio-auto-1-exec-6] INFO  r.n.m.service.ConfirmService - Confirm transaction: 0ae824f7-a421-4d86-ba5d-86d58ae143e1, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:36:14.663 [http-nio-auto-1-exec-7] INFO  r.n.m.service.TransferService - Transaction: 4ce105ac-6a14-4d9b-ba92-4af8232e17bf, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:36:14.684 [http-nio-auto-1-exec-9] INFO  r.n.m.service.TransferService - Transaction: 514811a2-4071-4589-836a-0911bce45b93, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:36:14.728 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: 968dc02b-a2fd-497f-be34-a167d37f1c18, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:36:14.746 [http-nio-auto-1-exec-4] INFO  r.n.m.service.TransferService - Transaction: 7f19c3bd-7d67-4d23-b1cf-f3bd8d39786a, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:37:53.170 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: 63a07c01-8a48-4732-b01d-47d4a424aef0, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:37:53.228 [http-nio-auto-1-exec-2] INFO  r.n.m.service.TransferService - Transaction: c350ea63-3ec3-4689-aa27-df5f3318ec9e, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:37:53.278 [http-nio-auto-1-exec-3] INFO  r.n.m.service.TransferService - Transaction: 63cd4452-bc34-4dda-abad-318affe7b59c, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:37:53.314 [http-nio-auto-1-exec-5] INFO  r.n.m.service.TransferService - Transaction: 5f019407-5fde-4e53-b4ca-bfef6ca6ee30, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 20:37:53.329 [http-nio-auto-1-exec-6] INFO  r.n.m.service.ConfirmService - Confirm transaction: 5f019407-5fde-4e53-b4ca-bfef6ca6ee30, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:37:53.348 [http-nio-auto-1-exec-7] INFO  r.n.m.service.TransferService - Transaction: d290b566-038b-4e73-a0b8-5817d80b70d5, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:37:53.373 [http-nio-auto-1-exec-9] INFO  r.n.m.service.TransferService - Transaction: b73bc095-79c5-451a-9e98-2ca2b3865b62, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:37:53.418 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: 9ac67ecb-6a2b-43e0-b5ea-8c02d56c9048, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=8000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:37:53.436 [http-nio-auto-1-exec-3] INFO  r.n.m.service.TransferService - Transaction: d529bb25-b953-4057-8b47-7b209869fdfb, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102000)
2025-06-07 20:37:54.221 [main] INFO  r.n.m.service.ConfirmService - Confirm transaction: 3a6f2aa3-f7ad-4567-8748-59f239ea6fd6, amount 200000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=200000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=220000)
2025-06-07 20:37:54.282 [main] INFO  r.n.m.service.TransferService - Transaction: 82e9acc7-6710-44b7-80fd-f57b1a86716b, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=400000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=20000)
2025-06-07 21:04:29.767 [main] INFO  r.n.m.service.ConfirmService - Confirm transaction: c5e81065-732c-489a-bf3e-1725e145c7fd, amount 200000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=180000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=240000)
2025-06-07 21:04:58.088 [main] INFO  r.n.m.service.ConfirmService - Confirm transaction: 3cf6992f-8ac3-43ed-b1a2-eff026faed97, amount 200000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=198000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=222000)
2025-06-07 21:05:16.216 [main] INFO  r.n.m.service.ConfirmService - Confirm transaction: 2e966f15-d3a8-4892-863d-58906d4361df, amount 200000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=198000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=222000)
2025-06-07 21:05:46.125 [main] INFO  r.n.m.service.ConfirmService - Confirm transaction: da603c07-6e25-454c-93c5-279cced44423, amount 200000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=198000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=222000)
2025-06-07 21:32:18.882 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: ec9bde3d-0571-489b-bdd1-aee5cee45e74, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:32:18.937 [http-nio-auto-1-exec-2] INFO  r.n.m.service.TransferService - Transaction: 4b812680-07c3-4bca-beeb-15644e8e7128, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:32:18.977 [http-nio-auto-1-exec-3] INFO  r.n.m.service.TransferService - Transaction: 737fe791-7db4-4e82-b5ad-b29473d4fe61, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:32:19.016 [http-nio-auto-1-exec-5] INFO  r.n.m.service.TransferService - Transaction: 0bd6b75f-c423-4be4-a284-0472c1a97ada, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:32:19.030 [http-nio-auto-1-exec-6] INFO  r.n.m.service.ConfirmService - Confirm transaction: 0bd6b75f-c423-4be4-a284-0472c1a97ada, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:32:19.047 [http-nio-auto-1-exec-7] INFO  r.n.m.service.TransferService - Transaction: b05557c3-688d-4c9d-bf35-002762c235db, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:32:19.068 [http-nio-auto-1-exec-9] INFO  r.n.m.service.TransferService - Transaction: 8f488b18-5b3b-406f-9341-667424ccb7dd, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:32:19.089 [http-nio-auto-1-exec-1] INFO  r.n.m.service.TransferService - Transaction: 899f5336-3b77-4d98-b430-fe583afaeb2b, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:32:19.114 [http-nio-auto-1-exec-3] INFO  r.n.m.service.TransferService - Transaction: 3c9a3fc6-9e4b-4334-9b9b-e5a7e9db71d7, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:32:19.990 [main] INFO  r.n.m.service.ConfirmService - Confirm transaction: d7376930-3820-45e7-909a-0500aeb37978, amount 200000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=198000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=222000)
2025-06-07 21:32:20.070 [main] INFO  r.n.m.service.TransferService - Transaction: d1da8d59-89af-4b91-8be1-55899f32e566, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=400000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=20000)
2025-06-07 21:33:48.166 r.n.m.service.TransferService - Transaction: 886d1703-47b6-457e-abb8-82bb05a9488d, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:33:48.225 r.n.m.service.TransferService - Transaction: 41a2be7a-8d47-4865-a8df-c93fc74c7cd8, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:33:48.265 r.n.m.service.TransferService - Transaction: 33d86e77-a56c-4bb2-ae53-c25b776054ea, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:33:48.309 r.n.m.service.TransferService - Transaction: ef414e3b-b426-4aa1-a5fb-6ec4cecfc127, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10000), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=100000)
2025-06-07 21:33:48.333 r.n.m.service.ConfirmService - Confirm transaction: ef414e3b-b426-4aa1-a5fb-6ec4cecfc127, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:33:48.356 r.n.m.service.TransferService - Transaction: 5582ea78-1c3b-41b3-a3d0-674eb5796302, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:33:48.383 r.n.m.service.TransferService - Transaction: 627812e5-9e29-463c-9837-3bef4dffd5a9, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:33:48.405 r.n.m.service.TransferService - Transaction: 5a19a618-5df6-401f-b747-0f7caa2428c6, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=7980), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:33:48.426 r.n.m.service.TransferService - Transaction: 5b3556f8-7009-49a5-8753-de552b6ef787, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=10), to Card(number=4321432143214321, ValidTill=04/32, cvv=103, balance=102020)
2025-06-07 21:33:49.263 r.n.m.service.ConfirmService - Confirm transaction: 83fd2a0e-d879-4085-99e7-5a380617d1f2, amount 200000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=198000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=222000)
2025-06-07 21:33:49.331 r.n.m.service.TransferService - Transaction: 70d93b44-e4b0-40b0-a3ef-eefbcbc3fed5, amount 2000, from Card(number=1234123412341234, ValidTill=01/27, cvv=032, balance=400000), to Card(number=4321432143214321, ValidTill=01/28, cvv=013, balance=20000)
